,DOE,Fit_Try3
1003,doe3543,-1.6
1004,doe3545,-4.5
1005,doe3547,-4.4
1006,doe3549,-4.5
1007,doe3551,-4.4
1008,doe3553,-1.0
1009,doe3555,-1.0
1010,doe3557,-1.0
1011,doe3559,-1.0
1012,doe3561,-3.5
1013,doe3563,-3.6
1014,doe3565,-3.6
1015,doe3567,-3.6
1016,doe3569,-2.4
1017,doe3571,-2.3
1018,doe3573,-2.4
1019,doe3575,-2.4
1020,doe3577,-4.3
1021,doe3579,-4.3
1022,doe3581,-4.3
1023,doe3583,-4.3
1024,doe3617,-0.1
1025,doe3619,-0.2
1026,doe3621,-0.4
1027,doe3623,-0.5
1028,doe3625,-0.3
1029,doe3627,-0.7
1030,doe3629,-0.6
1031,doe3631,-1.0
1032,doe3633,-0.3
1033,doe3635,-0.7
1034,doe3637,-0.4
1035,doe3639,-0.9
1036,doe3641,-0.3
1037,doe3643,-0.6
1038,doe3645,-0.4
1039,doe3647,-0.8
1040,doe3681,-0.9
1041,doe3683,-1.1
1042,doe3685,-1.0
1043,doe3687,-1.2
1044,doe3689,-1.1
1045,doe3691,-1.4
1046,doe3693,-1.1
1047,doe3695,-1.4
1048,doe3697,-0.4
1049,doe3699,-0.9
1050,doe3701,-0.6
1051,doe3703,-1.1
1052,doe3705,-0.4
1053,doe3707,-0.8
1054,doe3709,-0.6
1055,doe3711,-0.9
1056,doe3745,0.0
1057,doe3747,0.2
1058,doe3749,-0.0
1059,doe3751,0.1
1060,doe3753,-1.5
1061,doe3755,-1.3
1062,doe3757,-1.5
1063,doe3759,-1.2
1064,doe3761,-1.3
1065,doe3763,-1.4
1066,doe3765,-1.4
1067,doe3767,-1.4
1068,doe3769,-2.2
1069,doe3771,-2.2
1070,doe3773,-2.2
1071,doe3775,-2.1
1072,doe3809,0.0
1073,doe3811,0.1
1074,doe3813,0.1
1075,doe3815,0.1
1076,doe3817,-1.3
1077,doe3819,-1.1
1078,doe3821,-1.2
1079,doe3823,-1.0
1080,doe3825,-1.2
1081,doe3827,-1.2
1082,doe3829,-1.3
1083,doe3831,-1.2
1084,doe3833,-2.0
1085,doe3835,-1.9
1086,doe3837,-2.1
1087,doe3839,-1.9
1088,doe3873,-1.4
1089,doe3875,-1.2
1090,doe3877,-1.5
1091,doe3879,-1.4
1092,doe3881,-1.4
1093,doe3883,-1.4
1094,doe3885,-1.5
1095,doe3887,-1.5
1096,doe3889,-1.3
